,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
414,6,0,28,16,12,4086,768,776723,16450869
415,1,4,28,18,15,12425,1159,776723,16338892
416,16,1,11,10,7,1719,328,776723,16338591
417,11,0,10,12,8,4082,513,776723,16336547
418,10,0,11,12,7,2027,512,776723,16336189
419,10,0,17,12,8,4757,515,776723,16335692
420,3,2,26,18,14,11605,1169,776723,16334880
421,6,1,27,14,10,4304,683,776723,16334379
422,3,2,28,16,13,7135,999,776723,16333760
423,13,0,7,11,5,562,479,776723,16321669
424,10,0,6,10,5,1427,388,776723,16295941
425,9,0,12,11,6,685,424,776723,16295481
426,18,0,4,9,4,474,282,776723,16295043
427,14,1,9,11,6,1587,379,776723,16294589
428,10,1,15,13,9,4612,546,776723,16282377
429,1,4,26,18,15,12770,1143,776723,16282169
430,10,1,8,10,6,1731,373,776723,16282048
431,3,1,36,18,14,6764,1161,776723,16281820
432,2,1,36,17,13,6617,1065,776723,16281623
433,13,0,10,10,7,2496,404,776723,16281490
434,2,2,29,18,15,13865,1271,776723,16281137
435,8,2,16,15,11,5515,749,776723,16261915
436,6,0,31,15,12,4300,848,776723,16261678
437,1,5,12,16,14,11973,894,776723,16261391
438,1,4,23,19,16,20121,1220,776723,16260978
439,5,1,15,14,11,7398,774,776723,16260609
440,5,0,22,14,9,1346,663,776723,16260330
441,3,2,29,16,13,9044,918,776723,16222336
442,11,0,6,11,6,711,403,776723,16222172
443,6,1,22,16,10,1852,965,776723,16221889
444,3,1,25,17,13,4748,933,776723,16221548
445,7,0,5,12,7,4066,555,776723,16221382
446,3,2,48,19,16,11421,1109,776723,16221096
447,4,0,36,17,13,4324,888,776723,16198157
448,14,0,5,11,6,1397,342,776723,16197896
449,16,0,6,9,6,1463,301,776723,16192344
450,2,4,16,17,16,18063,930,776723,16192214
451,2,3,30,18,15,11111,1172,776723,16192067
452,2,2,29,19,14,10838,1252,776723,16191894
453,2,4,36,20,18,24704,1238,776723,16191761
454,3,2,24,18,15,16015,1205,776723,16191607
455,2,0,34,18,13,7729,1219,776723,16191432
456,11,0,14,11,8,2976,423,776723,16191248
457,9,0,18,14,9,2904,645,776723,16191044
458,1,1,42,17,13,6509,1166,776723,16190843
459,9,0,20,13,9,614,685,776723,16189005
460,12,0,3,10,8,5702,328,776723,16173934
461,2,5,30,18,15,11218,1218,776723,16173568
462,5,1,14,14,9,2173,665,776723,16173248
463,4,2,31,18,13,6387,1030,776723,16172866
