,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
209,3,6,22,1,18,18,15,16984077,824539,25354,999,1,12170,17,,,
210,1,6,45,2,18,20,33,16983709,824539,25138,1121,2,9790,17,,,
211,4,6,28,1,17,17,19,16983371,824539,19163,873,3,9373,17,,,
212,1,4,53,1,19,18,25,16982841,824539,15298,1250,3,4702,17,,,
213,7,5,19,1,14,14,11,16982514,824539,13905,602,1,6704,17,,,
214,5,4,33,1,17,18,9,16982055,824539,23330,890,0,11330,17,,,
215,2,4,35,2,18,18,8,16981469,824539,24897,1155,0,11587,17,,,
216,17,0,5,2,8,5,-23,16981182,824539,465,189,0,1555,17,,,
217,5,1,34,5,16,15,-8,16980694,824539,8514,810,2,5910,17,,,
218,10,0,30,1,14,12,-17,16980251,824539,9297,659,0,6225,17,,,
219,10,1,18,1,12,10,-8,16979864,824539,5439,489,0,4951,17,,,
220,14,0,11,1,10,7,-21,16979542,824539,1411,301,0,2488,17,,,
221,1,7,38,1,18,19,43,16978862,824539,19874,1064,2,7066,17,,,
222,12,2,19,1,14,12,-9,16978393,824539,7207,622,0,4492,17,,,
223,3,4,45,1,18,19,25,16977675,824539,22053,1028,0,13968,17,,,
224,10,0,25,1,13,10,-14,16977217,824539,2631,561,0,3313,17,,,
225,7,2,22,1,13,12,-5,16976727,824539,9301,613,0,5896,17,,,
226,10,1,14,1,12,10,-10,16976365,824539,5814,403,0,5188,17,,,
227,7,2,19,1,16,15,-1,16975734,824539,18755,887,0,9841,17,,,
228,1,4,36,1,17,18,28,16975148,824539,19666,900,0,6323,17,,,
229,11,2,15,1,13,11,-8,16974753,824539,6034,520,0,3836,17,,,
230,14,0,7,1,10,10,-19,16974485,824539,10139,388,0,2870,17,,,
231,1,5,31,1,18,18,35,16973874,824539,23971,1125,0,13154,17,,,
232,1,4,44,1,18,18,24,16973367,824539,13676,990,3,7975,17,,,
233,12,0,4,1,10,6,-16,16973161,824539,2535,330,0,2129,20,,,
234,10,0,20,1,11,9,-14,16972870,824539,2672,424,0,4144,20,,,
235,15,0,7,1,9,6,-20,16972675,824539,2285,279,0,3056,20,,,
236,16,0,5,1,9,7,-24,16972516,824539,2691,252,0,2455,17,,,
237,9,1,14,1,13,13,-11,16972208,824539,15882,510,0,6978,17,,,
238,7,1,47,1,16,14,-6,16970742,824539,5171,914,0,4200,17,,,
239,18,0,4,1,8,5,-24,16970530,824539,868,243,0,2213,17,,,
240,4,2,38,1,18,16,4,16967206,824539,14315,920,1,8715,17,,,
241,1,8,34,1,18,17,51,16966636,824539,18285,1149,2,5085,17,,,
242,3,2,45,2,19,18,1,16966040,824539,15534,1172,1,8730,17,,,
243,1,7,34,2,19,19,38,16965506,824539,23679,1177,0,12320,17,,,
244,14,0,13,1,11,9,-19,16965271,824539,3454,389,1,2788,12,,,
245,18,0,4,1,6,4,-24,16965183,824539,576,121,0,1256,12,,,
246,11,1,17,1,12,11,-12,16964950,824539,9593,500,1,2844,12,,,
247,14,1,7,1,11,9,-18,16964760,824539,8021,367,0,4180,12,,,
248,16,0,10,1,9,7,-25,16964615,824539,2519,279,0,2116,12,,,
249,9,1,17,1,12,11,-11,16964412,824539,9378,457,1,5450,12,,,
250,13,2,19,1,11,10,-5,16964234,824539,5003,344,0,3025,12,,,
251,16,1,2,1,7,6,-20,16964102,824539,2501,165,0,2051,12,,,
252,14,1,18,1,11,9,-18,16963927,824539,2926,312,0,2310,12,,,
